Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
686b78fcf0f205043304bc14,59a7cfeb7ff2320001ec59d9,APPROVED,Not Applicable,2025-07-07T07:36:35.375000Z,2025-07-07T07:42:07.733000Z,2025-07-07T07:42:38.423000Z,2025-07-07T07:42:08.147047Z,333.0,CP2ZDXDH,3705,55,Female,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
686b78fd78762410d6bac3f6,612399c71548ff3b47e406e8,APPROVED,Not Applicable,2025-07-07T07:36:32.621000Z,2025-07-07T07:42:07.624000Z,2025-07-07T07:42:28.282000Z,2025-07-07T07:42:08.051259Z,336.0,CP2ZDXDH,1784,52,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
686b78fe40ea62380cc08877,5e9ffa9ee172201b04f1a4c6,APPROVED,Not Applicable,2025-07-07T07:37:01.192000Z,2025-07-07T07:41:36.444000Z,2025-07-07T07:41:37.737000Z,2025-07-07T07:41:36.880649Z,276.0,CP2ZDXDH,3320,44,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
686b78fe4a04639d7f5b60a0,63d4f8a279d8d49ddbd48936,APPROVED,Not Applicable,2025-07-07T07:36:35.974000Z,2025-07-07T07:42:20.400000Z,2025-07-07T07:42:31.027000Z,2025-07-07T07:42:20.874257Z,345.0,CP2ZDXDH,1671,63,Male,Mixed,New Zealand,United Kingdom,United Kingdom,English,No,Full-Time
686b78ff584177eba09ee4bd,65230ecce6b5748e6df764fa,APPROVED,Not Applicable,2025-07-07T07:36:39.956000Z,2025-07-07T07:45:16.351000Z,2025-07-07T07:45:19.675000Z,2025-07-07T07:45:16.806728Z,517.0,CP2ZDXDH,1507,54,Female,Black,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
686b790117a18ef41a007fd6,5d2476c58352f000153bbcd6,APPROVED,Not Applicable,2025-07-07T07:36:40.032000Z,2025-07-07T07:44:06.916000Z,2025-07-07T07:44:12.460000Z,2025-07-07T07:44:07.327515Z,447.0,CP2ZDXDH,2109,69,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
686b790300b0eebe9d931139,605c8fc7ade50f818d2ce53f,APPROVED,Not Applicable,2025-07-07T07:36:39.054000Z,2025-07-07T07:39:11.125000Z,2025-07-21T15:20:46.087000Z,2025-07-07T07:39:11.515050Z,153.0,CP2ZDXDH,700,34,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
686b7903920ed06b7fc1f0ed,63cfee94707bca4ddee3eb05,APPROVED,Not Applicable,2025-07-07T07:36:38.645000Z,2025-07-07T07:40:46.037000Z,2025-07-07T07:40:59.618000Z,2025-07-07T07:40:46.448563Z,248.0,CP2ZDXDH,2488,45,Male,Asian,Hong Kong,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
686b790452451f4451b39c49,66f2af1a92b699dab88d33ed,APPROVED,Not Applicable,2025-07-07T07:36:46.807000Z,2025-07-07T07:43:10.380000Z,2025-07-07T07:43:11.742000Z,2025-07-07T07:43:10.791446Z,384.0,CP2ZDXDH,689,65,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
686b790699078ab3284c17f5,5e56584b888eb7000a1acb2b,APPROVED,Not Applicable,2025-07-07T07:36:40.495000Z,2025-07-07T07:39:36.900000Z,2025-07-21T15:20:46.307000Z,2025-07-07T07:39:37.946627Z,177.0,CP2ZDXDH,2921,33,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
686b79075d71a8ac516543ea,5d12110b40b8e0001a7b55b6,APPROVED,Not Applicable,2025-07-07T07:36:49.234000Z,2025-07-07T07:41:29.278000Z,2025-07-07T07:41:30.717000Z,2025-07-07T07:41:29.678388Z,281.0,CP2ZDXDH,1101,62,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
686b79096cbf30bea2bf395d,66095082185479f7db42d782,APPROVED,Not Applicable,2025-07-07T07:36:48.020000Z,2025-07-07T07:40:55.106000Z,2025-07-07T07:41:20.746000Z,2025-07-07T07:40:55.521063Z,248.0,CP2ZDXDH,1413,28,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
686b790b4d177dd736c2df33,677e711cdae0199f19d68029,APPROVED,Not Applicable,2025-07-07T07:36:50.900000Z,2025-07-07T07:42:06.206000Z,2025-07-07T07:42:11.783000Z,2025-07-07T07:42:06.653289Z,316.0,CP2ZDXDH,729,60,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
686b790ca939354ab90cceea,581ccd016c73180001fa5b2a,APPROVED,Not Applicable,2025-07-07T07:36:49.053000Z,2025-07-07T07:42:23.456000Z,2025-07-07T07:42:29.002000Z,2025-07-07T07:42:23.845949Z,335.0,CP2ZDXDH,5741,47,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
686b790d0bdabe41590ce8a2,62fbe4c86d484357b6adbc36,APPROVED,Not Applicable,2025-07-07T07:37:15.029000Z,2025-07-07T07:49:49.682000Z,2025-07-07T07:49:55.285000Z,2025-07-07T07:49:50.156247Z,755.0,CP2ZDXDH,1800,34,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
686b790db1a55ab470c6d08a,6658b2feaab263fcab6c8e35,APPROVED,Not Applicable,2025-07-07T07:36:58.078000Z,2025-07-07T07:40:32.789000Z,2025-07-07T07:40:34.179000Z,2025-07-07T07:40:33.224452Z,215.0,CP2ZDXDH,636,34,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
686b790e23088be377d6b87b,61656042f505fd7fa53e8628,APPROVED,Not Applicable,2025-07-07T07:37:32.595000Z,2025-07-07T07:41:22.984000Z,2025-07-07T07:41:28.536000Z,2025-07-07T07:41:23.401649Z,231.0,CP2ZDXDH,2850,56,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
686b790f3147d5d06c74ce5d,6740efc378e727e6c9f43a97,APPROVED,Not Applicable,2025-07-07T07:36:57.617000Z,2025-07-07T07:48:29.481000Z,2025-07-07T07:48:33.079000Z,2025-07-07T07:48:29.931561Z,692.0,CP2ZDXDH,476,43,Male,Black,Nigeria,United Kingdom,Nigeria,English,DATA_EXPIRED,DATA_EXPIRED
686b791020ae2dae70554c0d,59f4fa78da08940001d4e7b7,APPROVED,Not Applicable,2025-07-07T07:36:52.583000Z,2025-07-07T07:42:42.209000Z,2025-07-07T07:42:47.774000Z,2025-07-07T07:42:42.634485Z,350.0,CP2ZDXDH,1341,44,Female,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
686b791059976022208451d9,58954e2dc88c680001dd4b7e,APPROVED,Not Applicable,2025-07-07T07:36:53.543000Z,2025-07-07T07:42:32.941000Z,2025-07-07T07:43:28.760000Z,2025-07-07T07:42:33.367862Z,340.0,CP2ZDXDH,4489,60,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
686b7912746b52c56eed70e6,63e51ccb431bed8154fc6aae,APPROVED,Not Applicable,2025-07-07T07:36:53.453000Z,2025-07-07T07:39:56.805000Z,2025-07-07T07:40:07.378000Z,2025-07-07T07:39:57.225056Z,184.0,CP2ZDXDH,2469,40,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
686b791537e46ccfaae9ef2e,5eeaff91fd89901efebf84b4,APPROVED,Not Applicable,2025-07-07T07:37:05.951000Z,2025-07-07T07:40:20.168000Z,2025-07-07T07:40:25.768000Z,2025-07-07T07:40:20.601583Z,195.0,CP2ZDXDH,2463,36,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
686b79155a47915cc17b99b9,676add84a7c12204af3e4c90,APPROVED,Not Applicable,2025-07-07T07:36:53.800000Z,2025-07-07T07:49:05.769000Z,2025-07-07T07:49:09.421000Z,2025-07-07T07:49:06.206350Z,732.0,CP2ZDXDH,525,37,Female,Asian,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Part-Time
686b79161492f86ef5fcc52e,677a8e5affbe5673b3a79e6b,APPROVED,Not Applicable,2025-07-07T07:37:21.733000Z,2025-07-07T07:45:42.047000Z,2025-07-07T07:45:47.645000Z,2025-07-07T07:45:42.510799Z,501.0,CP2ZDXDH,1047,60,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
686b7916b014fbf0e02baaf0,6659f63e797dcc3dad177ad0,APPROVED,Not Applicable,2025-07-07T07:39:16.108000Z,2025-07-07T07:42:46.555000Z,2025-07-07T07:42:57.286000Z,2025-07-07T07:42:46.987229Z,211.0,CP2ZDXDH,189,32,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
686b7917bfc5064538fafc3b,62d6d77df59450e545fb22f6,APPROVED,Not Applicable,2025-07-07T07:37:49.580000Z,2025-07-07T07:43:20.412000Z,2025-07-07T07:43:33.020000Z,2025-07-07T07:43:20.849580Z,331.0,CP2ZDXDH,1884,37,Female,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
686b79185d8f8997ea0c843d,677d37f7c10fd4adcf8557d1,APPROVED,Not Applicable,2025-07-07T07:36:56.758000Z,2025-07-07T07:41:21.110000Z,2025-07-07T07:41:24.043000Z,2025-07-07T07:41:21.524741Z,265.0,CP2ZDXDH,564,32,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
686b79188ed7535714cfb3cc,5efb761a9baaf30de2d85f04,APPROVED,Not Applicable,2025-07-07T07:37:00.800000Z,2025-07-07T07:39:28.075000Z,2025-07-21T15:20:46.543000Z,2025-07-07T07:39:28.510546Z,148.0,CP2ZDXDH,593,23,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
686b791952cc5c46cd4366c5,5e27fdd75ade0ba21df12828,APPROVED,Not Applicable,2025-07-07T07:37:00.724000Z,2025-07-07T07:41:38.012000Z,2025-07-07T07:41:38.546000Z,2025-07-07T07:41:38.534021Z,278.0,CP2ZDXDH,1163,56,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
686b79198910a8577588fe3e,5c77d238e926fc00170b4975,APPROVED,Not Applicable,2025-07-07T07:37:04.182000Z,2025-07-07T07:42:13.361000Z,2025-07-07T07:42:18.937000Z,2025-07-07T07:42:13.787464Z,310.0,CP2ZDXDH,2553,32,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
