1	6.5	2	2.25	2
2	6.25	3	3.75	3
3	5.75	3.66666666666667	3.5	3.75
4	5.5	2.66666666666667	3	2.5
5	5.5	4	3.5	3.75
6	6.5	3.66666666666667	3.25	3.5
7	5.25	1	1.75	1
8	7	3.33333333333333	4	2.75
9	6.5	2.33333333333333	2.5	2
10	7	3	3	3.5
11	6	2.33333333333333	3.75	2.5
12	4.75	2.66666666666667	2	2
13	6.75	2.66666666666667	3.75	2.75
14	6.25	3.66666666666667	4	3
15	5.25	4	4.25	5
16	6.5	5	4	4.5
17	6.25	1.33333333333333	2.25	1.75
18	7	4	3.25	3.5
19	5.75	1.66666666666667	2.25	1.5
20	6.25	2.66666666666667	4	1.5
21	5	4	3	3
22	6	4	3.75	2.75
23	5.5	2.66666666666667	2.75	1.25
24	4.75	2.33333333333333	3	1.75
25	5.5	4	3.5	4
26	6.75	4.33333333333333	4.25	4.5
27	5.75	4	3.25	3.25
28	6.25	3.66666666666667	3.5	2
29	5.25	3	2.75	3
30	5.75	2.33333333333333	2	2
31	6.75	3	3.5	3.25
32	5.75	2.66666666666667	4	2.5
33	6	4.33333333333333	3.75	3
34	6	2.66666666666667	4	3.75
35	6	3.66666666666667	4	3.5
36	7	3.66666666666667	4	3.75
37	4.5	1.33333333333333	2.25	2
38	6	4	3.25	3.25
39	4	3	3.25	3
40	5.5	4	4	3.75
41	7	5	5	5
42	5.25	4	4	3.25
43	7	3	2.75	2.75
44	5.75	3	3.5	3.5
45	5.25	2.66666666666667	2.25	3
46	7	2.33333333333333	2.5	2.25
47	6	4	3.75	3.75
48	7	3	3.5	2.25
49	5	1.66666666666667	1.5	1.5
50	7	2	3.75	2.5
51	7	4.33333333333333	4.75	4.25
52	7	3	3.5	3
53	5.5	4.33333333333333	3.75	3.75
54	6.5	2.33333333333333	3	2
55	5.5	3.66666666666667	3.75	3.5
56	6.5	2.33333333333333	2.25	1.75
57	6	4	4	4
58	5.5	4	3.75	3.25
59	5.5	4.33333333333333	3.75	3.5
60	6.25	3.66666666666667	3.25	3.75
61	2	1.66666666666667	2.5	1.5
62	6.25	3	3	3
63	7	4	4	4
64	6	3.66666666666667	3.25	3
65	5	2.66666666666667	2.5	2.25
66	5.25	3.33333333333333	2.5	2.25
67	5.75	3.66666666666667	4	4
68	4	1.66666666666667	1.5	1
69	7	5	5	5
70	7	4.33333333333333	3.75	3.75
71	5.25	4	3.25	3.25
72	5.25	3.66666666666667	4	4.5
73	6	3.66666666666667	3.25	2.5
74	6	3	4	4.25
75	6.25	3	3.25	2.75
76	5.25	4	3.75	3
77	5.75	2	2	2
78	6.5	3.33333333333333	4	3.5
79	5.25	3.66666666666667	3.25	2.75
80	4.75	1.66666666666667	1.75	1.5
81	7	5	4	4
